,fighter_id,name,natinality_name,wins,losses,total_matches,win_pct,avg_gained_point,avg_skipped_point,takedown_score,takedown_success_count,total_takedown_count,takedown_success_rate,takedown_per_fight_total,average_takedown_points_per_fight,single_leg_takedown_count,single_leg_takedown_success_rate,double_leg_takedown_success_rate,double_leg_takedown_count,defense_score,action_skipped_points_per_fight,total_successful_defenses_per_fight,action_escape_rate,takedown_parter_escape_rate,pin_to_parter_escape_rate,roll_escape_rate,protection_zone_escape_rate,parterre_escape_rate,total_action_counts_per_fight,offense_score,protection_zone_counts_per_fight,action_points_per_fight,action_counts_per_fight,action_success_rate,protection_zone_success_rate,protection_zone_points_per_fight,roll_success_rate,roll_count_per_fight,roll_points_per_fight,parterre_success_rate,parterre_points_per_fight,successful_parterre_attempts_per_match,total_parterre_per_match,durability_score,defense_score_durability,offense_score_durability,takedown_score_durability,passivity_per_fight,overall_score,Completed
1176,22613,Krisztian KECSKEMETI,hun,11,23,34,0.32,2.941176470588236,3.941176470588235,,,1.0,0.0,0.25,0.0,,,,,0.55,,0.0,0.3,0.5,,0.25,0.0,0.4,0.0,0.15,0.0,0.25,0.25,0.5,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.41,0.0,,0.0,0.0,,0
1177,20776,Gyanender GYANENDER,ind,10,20,30,0.33,2.833333333333333,5.2,,1.0,3.0,0.33,0.86,0.0,,,,,0.4,,0.0,0.24,0.45,,1.0,0.0,0.21,0.0,0.14,0.29,0.86,0.86,0.43,1.0,0.29,0.33,0.14,0.29,0.33,0.29,0.14,0.43,0.42,0.06,,,0.0,,0
1178,22509,Islam BAZARGANOV,aze,8,12,20,0.4,3.25,4.35,0.0,3.0,16.0,0.19,1.29,1.43,2.0,0.15,,,0.81,,0.71,0.47,0.8,,0.2,0.5,0.14,0.81,0.14,0.14,2.71,1.29,0.33,1.0,0.14,0.33,0.14,0.29,0.33,0.29,0.14,0.43,0.58,0.68,0.0,0.16,0.25,0.3825,0
1179,22035,Aslamdzhon AZIZOV,tjk,9,15,24,0.38,4.166666666666666,5.916666666666666,0.0,,3.0,0.0,1.5,0.0,,,,,0.65,,0.71,0.43,1.0,,0.33,,0.33,0.77,0.14,0.0,2.0,1.5,0.33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.58,0.43,0.1,0.0,0.5,0.3425,0
1180,22499,Georgii OKOROKOVV,aus,5,4,9,0.56,5.666666666666666,5.0,0.0,,4.0,0.0,2.0,0.0,,,,,0.67,,0.0,0.45,1.0,,0.0,0.0,0.0,0.0,0.14,1.0,2.0,2.0,0.29,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,,,0.5,0.2225,0
1181,22714,Vilius LAURINAITIS,ltu,12,18,30,0.4,2.5,3.366666666666667,,,5.0,0.0,0.71,0.0,,,,,0.0,,0.0,0.21,0.33,,,0.0,0.56,0.0,0.14,0.0,1.0,0.71,0.42,,0.0,1.0,0.29,0.57,1.0,0.57,0.29,0.29,0.21,0.0,,,0.5,,0
1182,22592,Erik Sven THIELE,ger,17,15,32,0.53,4.625,2.90625,0.09,2.0,16.0,0.13,1.14,0.86,1.0,0.09,,,0.4,,0.0,0.17,0.3,,,0.0,0.0,0.88,0.14,0.29,1.71,1.14,0.36,1.0,0.29,,0.0,0.0,,0.0,0.0,0.0,0.5,0.26,0.02,0.0,0.0,0.2825,0
1183,34430,Alibek TASHMATOV,kgz,0,1,1,0.0,3.0,5.0,,1.0,7.0,0.14,2.0,2.0,,,,,,,,0.4,0.67,,,,,,0.14,1.0,3.0,2.0,0.25,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.61,0.43,,0.35,,,0
1184,25649,Abdulla KURBANOV,ain,4,4,8,0.5,7.375,5.25,0.0,,5.0,0.0,2.0,0.0,,,,,0.9,,0.0,0.69,0.77,,1.0,,1.0,0.0,0.14,2.0,2.0,2.0,0.29,1.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.26,0
1185,27537,Lkhangarmaa NARMANDAKH,mgl,3,3,6,0.5,5.666666666666666,10.33333333333333,,2.0,9.0,0.22,2.0,4.0,,,1.0,1.0,,,,0.4,1.0,,,0.0,0.0,,0.14,0.0,4.0,2.0,0.22,,0.0,,0.0,0.0,1.0,2.0,1.0,1.0,0.63,0.68,,0.8,,,0
